劣化名,2文字,読み
庇鼻先シーリング劣化,ひし,ひさしはなさきしーりんぐれっか
庇鼻先シーリング劣化漏水,ひし,ひさしはなさきしーりんぐれっかろうすい
庇鼻先露筋,ひろ,ひさしはなさきろきん
庇鼻先爆裂,ひば,ひさしはなさきばくれつ
庇鼻先ひび割れ,ひひ,ひさしはなさきひびわれ
庇鼻先ひび割れ浮き,ひひ,ひさしはなさきひびわれうき
庇鼻先ひび割れ白華,ひひ,ひさしはなさきひびわれはっか
庇鼻先補修跡ひび割れ浮き,ひほ,ひさしはなさきほしゅうあとひびわれうき
庇ひび割れ,ひひ,ひさしひびわれ
樋支持金具錆,とさ,といしじかなぐさび
樋支持金具腐食,とふ,といしじかなぐふしょく
樋受金具錆,とさ,というけかなぐさび
樋受金具破損,とは,というけかなぐはそん
非常階段建具開閉不良,ひか,ひじょうかいだんたてぐかいへいふりょう
非常階段物品あり,ひぶ,ひじょうかいだんぶっぴんあり
非常照明球なし,ひた,ひじょうしょうめいたまなし
非常用避難口の前物品,ひぶ,ひじょうようひなんくちのまえぶっぴん
樋脱落,とだ,といだつらく
樋掴み金具錆,とさ,といつかみかなぐさび
樋掴み金物錆,とさ,といつかみかなものさび
樋掴み金物破損,とは,といつかみかなものはそん
樋詰まり,とつ,といつめまり
避難経路物品あり,ひぶ,ひなんけいろぶっぴんあり
避難出口物品あり,ひぶ,ひなんでぐちぶっぴんあり
避難扉開閉不良,ひか,ひなんとびらかいへいふりょう
避難扉に施錠あり,ひせ,ひなんとびらにせじょうあり
避難扉に施錠あり避難経路に物品あり,ひせ,ひなんとびらにせじょうありひなんけいろにぶっぴんあり
避難扉前物品あり,ひぶ,ひなんとびらまえぶっぴんあり
樋破損,とは,といはそん
樋腐食欠損,とふ,といふしょくけっそん
避雷針架台爆裂,ひば,ひらいしんかだいばくれつ
フード錆,ふさ,ふーどさび
プールサイド床ひび割れ,ぷひ,ぷーるさいどとこひびわれ
プール擁壁欠損亀裂,ぷけ,ぷーるようへきけっそんきれつ
フェンス傾き,ふか,ふぇんすかたむき
フェンス壁亀裂,ふき,ふぇんすかべきれつ
フェンス基礎浮き欠損,ふう,ふぇんすきそうきけっそん
フェンス基礎亀裂,ふき,ふぇんすきそきれつ
フェンス基礎欠損,ふけ,ふぇんすきそけっそん
フェンス基礎露筋,ふろ,ふぇんすきそろきん
フェンス基礎のコンクリート欠損,ふけ,ふぇんすきそのこんくりーとけっそん
フェンス基礎爆裂,ふば,ふぇんすきそばくれつ
フェンス基礎爆裂土間コンクリート浮き,ふば,ふぇんすきそばくれつどまこんくりーとうき
フェンス基礎ひび割れ,ふひ,ふぇんすきそひびわれ
フェンス基礎ひび割れ欠損,ふひ,ふぇんすきそひびわれけっそん
フェンス基礎ひび割れ白華,ふひ,ふぇんすきそひびわれはっか
フェンスぐらつき,ふぐ,ふぇんすぐらつき
フェンス傾斜,ふけ,ふぇんすけいしゃ
フェンス欠損,ふけ,ふぇんすけっそん
フェンス錆,ふさ,ふぇんすさび
フェンス錆欠損,ふさ,ふぇんすさびけっそん
フェンス支柱腐食,ふふ,ふぇんすしちゅうふしょく
フェンス忍び返し破損,ふは,ふぇんすしのびかえしはそん
フェンス高さ不足,ふた,ふぇんすたかさふそく
フェンス破損,ふは,ふぇんすはそん
フェンス腐食,ふふ,ふぇんすふしょく
フェンス腐食破損,ふふ,ふぇんすふしょくはそん
フェンス変形,ふへ,ふぇんすへんけい
フェンス変形錆,ふへ,ふぇんすへんけいさび
物品放置,ぶほ,ぶっぴんほうち
踏み石欠損,ふけ,ふみいしけっそん
踏段爆裂,ふば,ふみだんばくれつ
踏段ひび割れ,ふひ,ふみだんひびわれ
踏面亀裂,ふき,ふみづらきれつ
踏面欠損,ふけ,ふみづらけっそん
踏面露筋,ふろ,ふみづらろきん
踏面破損,ふは,ふみづらはそん
踏面ひび割れ,ふひ,ふみづらひびわれ
踏面モルタル欠損,ふけ,ふみづらもるたるけっそん
ブラインド破損,ぶは,ぶらいんどはそん
フローリングたわみ,ふた,ふろーりんぐたわみ
ベースプレート錆鉄骨基礎欠損,べさ,べーすぷれーとさびてっこつきそけっそん
ベースプレート腐食,べふ,べーすぷれーとふしょく
ベースプレート腐食基礎破損,べふ,べーすぷれーとふしょくきそはそん
隔て板前棚の放置,へた,へだていたまえたなのほうち
ベランダ下端爆裂,べば,べらんだかたんばくれつ
ベランダ手摺錆,べて,べらんだてすりさび
ベランダ防水劣化,べれ,べらんだぼうすいれっか
便所使用不可,べし,べんじょしようふか
ベンチひび割れ,べひ,べんちひびわれ
ベンチひび割れ剥がれ,べひ,べんちひびわれはがれ
防火シャッター常時閉鎖,ぼへ,ぼうかしゃったーじょうじへいさ
防火シャッター操作盤開閉不良,ぼか,ぼうかしゃったーそうさばんかいへいふりょう
防火シャッターパッキン劣化,ぼぱ,ぼうかしゃったーぱっきんれっか
防火設備設置なし,ぼせ,ぼうかせつびせっちなし
防火扉全閉不能,ぼぜ,ぼうかとびらぜんぺいふのう
防火扉閉鎖力超過,ぼへ,ぼうかとびらへいさちからちょうか(きぞんふてきかく)
防球ネット錆,ぼさ,ぼうきゅうねっとさび
防球ネット破れ,ぼや,ぼうきゅうねっとやぶれ
防水層浮き,ぼう,ぼうすいそううき
防水層下コンクリート浮き,ぼう,ぼうすいそうしたこんくりーとうき
防水層下爆裂,ぼば,ぼうすいそうしたばくれつ
防水層塗膜剥がれ,ぼと,ぼうすいそうとまくはがれ
防水層剥がれ,ぼは,ぼうすいそうはがれ
防水層破損,ぼは,ぼうすいそうはそん
防水層破断,ぼは,ぼうすいそうはだん
防水層白華,ぼは,ぼうすいそうはっか
防水層ひび割れ,ぼひ,ぼうすいそうひびわれ
防水層ひび割れ浮き,ぼひ,ぼうすいそうひびわれうき
防水層ひび割れ剥がれ,ぼひ,ぼうすいそうひびわれはがれ
防水層表面劣化,ぼひ,ぼうすいそうひょうめんれっか
防水層膨れ,ぼふ,ぼうすいそうふくれ
防水層水溜り,ぼみ,ぼうすいそうみずたまり
防水層破れ,ぼや,ぼうすいそうやぶれ
防水層劣化,ぼれ,ぼうすいそうれっか
防水剥がれ,ぼは,ぼうすいはがれ
防水目地剥がれ,ぼめ,ぼうすいめじはがれ
防水劣化,ぼれ,ぼうすいれっか
膨張タンク架台錆,ぼさ,ぼうちょうたんくかだいさび
ポール腐食,ぽふ,ぽーるふしょく
保護コンクリート表面劣化,ほひ,ほごこんくりーとひょうめんれっか
保護モルタルひび割れ,ほひ,ほごもるたるひびわれ
保護モルタルひび割れ目地浮き,ほひ,ほごもるたるひびわれめじうき
補修跡鉄筋錆,ほさ,ほしゅうあとてっきんさび
補修跡爆裂,ほば,ほしゅうあとばくれつ
補修跡ひび割れ浮き,ほひ,ほしゅうあとひびわれうき
舗装陥没,ほか,ほそうかんぼつ
舗装仕上げ材剥がれ,ほし,ほそうしあげざいはがれ
舗装土砂削れ,ほど,ほそうどしゃけずれ
舗装剥がれ,ほは,ほそうはがれ
舗装ひび割れ,ほひ,ほそうひびわれ
舗装ひび割れ植生,ほひ,ほそうひびわれしょくせい
舗装ひび割れ不陸,ほひ,ほそうひびわれふりく
舗装不陸,ほふ,ほそうふりく
歩道雑草繁殖,ほざ,ほどうざっそうはんしょく
歩道爆裂,ほば,ほどうばくれつ
ボルト錆,ぼさ,ぼるとさび
ポンプ室外壁浮き,ぽが,ぽんぷしつがいかべうき
ポンプ室外壁ひび割れ,ぽが,ぽんぷしつがいかべひびわれ
ポンプ室外壁ひび割れ錆汁,ぽが,ぽんぷしつがいかべひびわれさびじる
ポンプ室外壁ひび割れ白華多数,ぽが,ぽんぷしつがいかべひびわれはっかたすう
ポンプ室巾木爆裂,ぽは,ぽんぷしつはばきばくれつ
ポンプ室庇欠損,ぽひ,ぽんぷしつひさしけっそん
ポンプ室庇ひび割れ,ぽひ,ぽんぷしつひさしひびわれ
ポンプ室補修跡浮き,ぽほ,ぽんぷしつほしゅうあとうき
ポンプ室窓枠爆裂,ぽば,ぽんぷしつまどわくばくれつ
ポンプ室モルタルひび割れ,ぽひ,ぽんぷしつもるたるひびわれ
ポンプ室上裏浮き白華,ぽう,ぽんぷむろかみうらうきはっか
ポンプ室上裏補修跡爆裂,ぽほ,ぽんぷむろかみうらほしゅうあとばくれつ
窓金具不良,まふ,まどかなぐふりょう
窓ガラスなし,まな,まどがらすなし
窓ガラス破損,まは,まどがらすはそん
窓ガラスひび割れ,まひ,まどがらすひびわれ
窓ガラス付近に棚設置,また,まどがらすふきんにたなせっち
窓ガラス前に棚あり,また,まどがらすまえにたなあり
窓ガラス前物品あり,まぶ,まどがらすまえぶっぴんあり
窓ガラス割れ,まわ,まどがらすわれ
窓近辺に物品あり,まぶ,まどきんぺんにぶっぴんあり
窓シーリング劣化,まし,まどしーりんぐれっか
窓フレーム変形,まへ,まどふれーむへんけい
窓枠腐食,まふ,まどわくふしょく
丸環錆,まさ,まるかんさび
丸窓周辺漏水跡,まろ,まるまどしゅうへんろうすいあと
マンホール欠損,まけ,まんほーるけっそん
水切り顎部浮き,みう,みずきりあごぶうき
水切り顎部ひび割れ浮き,みひ,みずきりあごぶひびわれうき
水切り顎部劣化,みれ,みずきりあごぶれっか
水切り爆裂,みば,みずきりばくれつ
水切りひび割れ,みひ,みずきりひびわれ
水切りひび割れ浮き,みひ,みずきりひびわれうき
水溜り,みず,みずたまり
目洗い場欠損,めけ,めあらいばけっそん
目洗い場爆裂,めば,めあらいばばくれつ
目地ひび割れ,めひ,めじひびわれ
目地劣化,めれ,めじれっか
面格子錆,めさ,めんこうしさび
面台外壁爆裂,めば,めんだいがいへきばくれつ
面台外壁ひび割れ,めひ,めんだいがいへきひびわれ
面台浮き,めう,めんだいうき
面台浮き外壁ひび割れ,めう,めんだいうきがいへきひびわれ
面台欠損,めけ,めんだいけっそん
面台タイル浮き,めた,めんだいたいるうき
面台破損,めは,めんだいはそん
面台ひび割れ,めひ,めんだいひびわれ
面台ひび割れ浮き,めひ,めんだいひびわれうき
面台ひび割れ欠損,めひ,めんだいひびわれけっそん
面台補修跡欠損,めほ,めんだいほしゅうあとけっそん
木製建具腐食,もふ,もくせいたてぐふしょく
木製建具枠劣化,もれ,もくせいたてぐわくれっか
木部腐食,もふ,もくぶふしょく
物置上裏漏水,もろ,ものおきあげうらろうすい
物干し金物錆,もさ,ものほしかなものさび
モルタル欠損,もけ,もるたるけっそん
モルタル床ひび割れ,もひ,もるたるとこひびわれ
モルタルひび割れ,もひ,もるたるひびわれ
門柱タイル浮き,もた,もんちゅうたいるうき
門柱タイル欠損,もた,もんちゅうたいるけっそん
門柱タイルひび割れ浮き,もた,もんちゅうたいるひびわれうき
門柱爆裂,もば,もんちゅうばくれつ
門柱ひび割れ白華,もひ,もんちゅうひびわれはっか
門柱モルタル浮き,もう,もんちゅうもるたるうき
門扉錆,もさ,もんぴさび
門扉錆破損,もさ,もんぴさびはそん
門扉錆腐食,もさ,もんぴさびふしょく
門扉腐食,もふ,もんぴふしょく
門変形,もへ,もんへんけい
薬品棚未固定,やみ,やくひんたなひつじこてい
屋根格子腐食,やふ,やねこうしふしょく
屋根材剥がれ,やは,やねざいはがれ
屋根錆,やさ,やねさび
屋根塗装劣化,やと,やねとそうれっか
屋根破損,やは,やねはそん
屋根鼻先爆裂,やば,やねはなさきばくれつ
屋根庇腐食,やふ,やねひさしふしょく
屋根葺材錆,やさ,やねふきざいさび
屋根腐食,やふ,やねふしょく
屋根腐食欠損,やふ,やねふしょくけっそん
屋根不燃材未使用,やふ,やねふねんざいみしよう
屋根変形,やへ,やねへんけい
屋根変形破損,やへ,やねへんけいはそん
有刺鉄線欠落,ゆけ,ゆうしてっせんけつらく
床材たわみ,ゆた,ゆかざいたわみ
床下換気口カバー破損,ゆか,ゆかしたかんきくちかばーはそん
床下換気口の格子破損,ゆこ,ゆかしたかんきくちのこうしはそん
床下換気口塞ぎ,ゆふ,ゆかしたかんきくちふさぎ
床下鉄骨腐食,ゆふ,ゆかしたてっこつふしょく
床下点検口錆,ゆさ,ゆかしたてんけんくちさび
床下点検口破損,ゆは,ゆかしたてんけんくちはそん
擁壁傾き欠損,よか,ようへきかたむきけっそん
擁壁亀裂,よき,ようへききれつ
擁壁亀裂欠損,よき,ようへききれつけっそん
擁壁亀裂白華,よき,ようへききれつはっか
擁壁亀裂水抜き穴なし,よき,ようへききれつみずぬききあななし
擁壁欠損,よけ,ようへきけっそん
擁壁隙間,よす,ようへきすきま
擁壁ずれ,よず,ようへきずれ
擁壁せり出し,よせ,ようへきせりだし
擁壁倒れ,よた,ようへきたおれ
擁壁露筋,よろ,ようへきろきん
擁壁天端破損,よは,ようへきてんばはそん
擁壁に樹木,よじ,ようへきにじゅもく
擁壁爆裂,よば,ようへきばくれつ
擁壁破損,よは,ようへきはそん
擁壁白華,よは,ようへきはっか
擁壁ひび割れ,よひ,ようへきひびわれ
擁壁ひび割れ錆汁,よひ,ようへきひびわれさびじる
擁壁ひび割れ白華,よひ,ようへきひびわれはっか
擁壁補修跡爆裂,よほ,ようへきほしゅうあとばくれつ
擁壁水抜き穴なし,よみ,ようへきみずぬききあななし
擁壁モルタル浮き,よう,ようへきもるたるうき
予備電源装置なし危害防止装置不作動,よび,よびでんげんそうちなしきがいぼうしそうちふさくどう(きぞんふてきかく)
ラッキング破損,らは,らっきんぐはそん
レンガ塀亀裂,れき,れんがへいきれつ
ワイヤー錆,わさ,わいやーさび
渡り廊下支柱基礎モルタル破損,わは,わたりろうかしちゅうきそもるたるはそん
渡り廊下支柱ベースプレート腐食,わふ,わたりろうかしちゅうべーすぷれーとふしょく
渡り廊下地盤沈下,わち,わたりろうかじばんちんか
渡り廊下鉄骨錆,わさ,わたりろうかてっこつさび
渡り廊下屋根塗膜剥がれ錆,わと,わたりろうかやねとまくはがれさび
渡り廊下屋根腐食,わふ,わたりろうかやねふしょく
